source_lemma,target_translation,source,source_id,uri
pamfýlie,Pamphylia,teater,4079,https://teater.aiscr.cz/id/4079
památková péče,historic preservation,teater,253,https://teater.aiscr.cz/id/253
památková rezervace,heritage reserve,amcr,HES-000180,https://api.aiscr.cz/id/HES-000180
památková zóna,heritage zone,amcr,HES-000179,https://api.aiscr.cz/id/HES-000179
památkový objekt,listed monument,teater,264,https://teater.aiscr.cz/id/264
památkový ústav,heritage institute,teater,269,https://teater.aiscr.cz/id/269
památkově chráněné území,historically preserved area,teater,265,https://teater.aiscr.cz/id/265
památkář,preservationist,teater,267,https://teater.aiscr.cz/id/267
památkářka,woman preservationist,teater,268,https://teater.aiscr.cz/id/268
památník,Album Amicorum,teater,3735,https://teater.aiscr.cz/id/3735
panama,Panama,amcr,HES-001369,https://api.aiscr.cz/id/HES-001369
panathénajské amfory,panathenaic amphorae,teater,2363,https://teater.aiscr.cz/id/2363
pancíř,cuirass,teater,2016,https://teater.aiscr.cz/id/2016
panenteismus,panentheism,teater,3819,https://teater.aiscr.cz/id/3819
pannotypie,pannotype,teater,3776,https://teater.aiscr.cz/id/3776
panonie,Pannonia,teater,3014,https://teater.aiscr.cz/id/3014
panova flétna,pan flute,teater,1840,https://teater.aiscr.cz/id/1840
panovnice,queen,teater,3641,https://teater.aiscr.cz/id/3641
panovnická dynastie,dynasty,teater,3710,https://teater.aiscr.cz/id/3710
panovnické dynastie z prostoru středovýchodní evropy,ruling dynasties from East-Central Europe,teater,3076,https://teater.aiscr.cz/id/3076
panovnický dvůr,royal court,teater,3643,https://teater.aiscr.cz/id/3643
panovník,king,teater,3642,https://teater.aiscr.cz/id/3642
panteismus,pantheism,teater,3908,https://teater.aiscr.cz/id/3908
pantokrator,Christ Pantocrator,teater,3809,https://teater.aiscr.cz/id/3809
papež,pope,teater,3122,https://teater.aiscr.cz/id/3122
papežská rezidence,residence of pope,teater,1546,https://teater.aiscr.cz/id/1546
papežský dokument,papal documents,teater,2237,https://teater.aiscr.cz/id/2237
papežský stát,papal states,teater,3015,https://teater.aiscr.cz/id/3015
papežství,papacy,teater,784,https://teater.aiscr.cz/id/784
papua nová guinea,Papua New Guinea,amcr,HES-001370,https://api.aiscr.cz/id/HES-001370
papyrologie,papyrology,teater,674,https://teater.aiscr.cz/id/674
papyrový rukopis,papyrus manuscript,teater,675,https://teater.aiscr.cz/id/675
papyrový svitek,papyrus scroll,teater,676,https://teater.aiscr.cz/id/676
papyrus,papyrus,teater,2530,https://teater.aiscr.cz/id/2530
papír,paper,amcr,HES-000917,https://api.aiscr.cz/id/HES-000917
papír kladívkový,drawing paper,amcr,HES-000231,https://api.aiscr.cz/id/HES-000231
papír milimetrový,graph paper,amcr,HES-000212,https://api.aiscr.cz/id/HES-000212
papír s fotografiemi,paper with photographs,amcr,HES-000213,https://api.aiscr.cz/id/HES-000213
papír sešit,booklet,amcr,HES-000214,https://api.aiscr.cz/id/HES-000214
papír vázaný,bounded paper,amcr,HES-000215,https://api.aiscr.cz/id/HES-000215
paradigma vědy,paradigma of science,teater,78,https://teater.aiscr.cz/id/78
paraguay,Paraguay,amcr,HES-001363,https://api.aiscr.cz/id/HES-001363
parazitologická diagnostika,parasitological diagnostics,teater,167,https://teater.aiscr.cz/id/167
parisiové,Parisii,teater,3940,https://teater.aiscr.cz/id/3940
park,park,amcr,HES-000059,https://api.aiscr.cz/id/HES-000059
parkán,zwinger,teater,1634,https://teater.aiscr.cz/id/1634
parkánová hradba,zwinger wall,amcr,HES-000533,https://api.aiscr.cz/id/HES-000533
parnas,Parnass,teater,4080,https://teater.aiscr.cz/id/4080
parodos,parodos,teater,1592,https://teater.aiscr.cz/id/1592
paroh,antler,amcr,HES-000918,https://api.aiscr.cz/id/HES-000918
parský mramor,parian chronicle,teater,2238,https://teater.aiscr.cz/id/2238
parthové,Parthians,teater,3956,https://teater.aiscr.cz/id/3956
parthská říše,Parthian Empire,teater,4081,https://teater.aiscr.cz/id/4081
